Geneid,True_Counts,Predict_Counts,Fold_Change,Log2_Fold_Change
A2M,4013.65,1830.133040247337,-2.1930919292389626,-1.132537604679099
A2M,1579.47,977.9060222994015,-1.6151552030389482,-0.6911113818513402
A2M,4074.77,1225.279677316464,-3.325583599757668,-1.7327845893246956
A2M,2604.61,1388.6794918990897,-1.8756019766937464,-0.9068689757423285
A2M,1078.28,1400.837861450816,1.2991410964228365,0.37725029989597575
A2M,2507.66,2036.3525515193533,-1.2314468818913489,-0.30022130323831864
A2M,780.0,990.0490897050347,1.2692937047500445,0.34363397193046324
A2M,1711.5,962.9764304955983,-1.7773020665928159,-0.8290342103878751
A2M,660.38,1551.0905535414242,2.348784871651813,1.2306614065755992
A2M,936.34,180.94667018295,-5.174673836513784,-2.365056800957373
ACVR1C,55.57,51.17143477419413,-1.085957433971034,-0.11677706130490367
ACVR1C,64.43,80.5972040742628,1.2509266502291292,0.318567448441783
ACVR1C,35.16,35.350362603397066,1.0054141809839894,0.007575077685127961
ACVR1C,30.8,40.82641447180799,1.3255329373963634,0.39538756416122833
ACVR1C,21.51,40.41532725485451,1.8789087519690613,0.8795987317606685
ACVR1C,49.1,81.88000257955918,1.6676171604798202,0.7262134445064586
ACVR1C,16.25,36.87004599518325,2.268925907395892,1.1344608115623807
ACVR1C,11.62,17.02306401918498,1.4649796918403597,0.5141323877073581
ACVR1C,16.48,26.94588585668094,1.6350658893617074,0.6769307228794728
ACVR1C,26.85,67.35378630610738,2.508520905255396,1.2953439273655234
ADAM12,268.0,176.36643211839748,-1.519563540413901,-0.600873177791893
ADAM12,155.3,273.3315397773919,1.760022793157707,0.8116027194032798
ADAM12,354.73,207.14480381448107,-1.7124735618166715,-0.7731951041489943
ADAM12,256.03,219.5307339187171,-1.1662603929288415,-0.22095702885363233
ADAM12,150.58,238.95617891247718,1.586905159466577,0.6626915513833083
ADAM12,70.14,218.38505257765212,3.113559346701627,1.6247323540376786
ADAM12,122.35,248.52375398856816,2.0312525867475943,1.0164194471399806
ADAM12,526.11,207.62604070657665,-2.533930706425763,-1.3371848159105473
ADAM12,114.28,174.41466403869345,1.526204620569596,0.6056271163455227
ADAM12,37.95,198.98482588884386,5.243341920654647,2.360195304373311
ADGRE1,20.62,9.047330823234006,-2.279125236257172,-1.1055542375431506
ADGRE1,29.74,17.630122943720803,-1.6868855705054675,-0.7224799700990501
ADGRE1,17.58,21.777682250077277,1.2387760096744755,0.2938704509251616
ADGRE1,13.38,22.376823920138644,1.67240836473383,0.7010152564052478
ADGRE1,22.86,23.514080130229942,1.028612429143917,0.03901658371571955
ADGRE1,10.88,8.440693802709166,-1.288993565494332,-0.3315700429487877
ADGRE1,20.07,-5.822730075173894,3.44683674855057,
ADGRE1,11.62,23.818996165249146,2.049827552947431,0.9757328547568246
ADGRE1,12.12,24.18419724343752,1.995395812164812,0.9407510252799473
ADGRE1,10.25,11.9112009590306,1.1620683862468877,0.19869820036886052
ADM,55.57,127.48063913192064,2.2940550500615555,1.1834418986338056
ADM,122.26,145.29602976899537,1.1884183687959706,0.24718592144382323
ADM,82.74,132.47546009314775,1.6011053915052906,0.6725856988249345
ADM,252.18,134.47321945196273,-1.8753176359407766,-0.9021557576538725
ADM,47.06,141.90966046263674,3.0155048972086003,1.572194890008423
ADM,220.95,142.5692418504642,-1.549773268989861,-0.6284880081291577
ADM,78.38,139.34587372254265,1.7778243649214425,0.8221391806712687
ADM,183.38,146.45452054875182,-1.2521293252874117,-0.3224121206376843
ADM,151.63,129.65415079377007,-1.1694959171896089,-0.2242855983462228
ADM,27.21,129.14204330227088,4.7461243403995175,2.2058085390980966
ADORA2A,34.96,32.69519794167166,-1.0692701742429809,-0.09385001993118611
ADORA2A,34.7,34.069604800832344,-1.0185031556090212,-0.025702901293870522
ADORA2A,38.27,33.48531214709155,-1.1428891518732354,-0.18744557247621615
ADORA2A,51.98,34.63475012670691,-1.5008048220309849,-0.5721630355809603
ADORA2A,25.55,35.5680588686462,1.3920962375203991,0.4618721855321455
ADORA2A,63.13,32.25285001835852,-1.9573464039322421,-0.9475214114898437
ADORA2A,28.68,37.66308730476408,1.3132178279206446,0.3814657515251791
ADORA2A,28.38,34.55752122436359,1.217671642859887,0.2753203590394108
ADORA2A,27.47,34.386278394791205,1.251775696934518,0.31374754718797826
ADORA2A,12.17,25.292366806733387,2.0782552840372546,0.9973886718519922
AKT1,538.68,725.4212129744898,1.346664463084744,0.4287021094000286
AKT1,624.52,576.9522963925365,-1.082446510577887,-0.11410559396461868
AKT1,477.8,614.8611425895307,1.2868588166377788,0.3631819527301163
AKT1,683.4,707.2120041121275,1.0348434359264376,0.04934153762398846
AKT1,446.37,798.4896145779649,1.7888514339627772,0.8376107785750359
AKT1,389.3,868.4056237241102,2.2306848798461605,1.1554459648987665
AKT1,791.47,874.700189815586,1.1051589950542484,0.14408070312114363
AKT1,2047.69,825.2142552075019,-2.4814040560716006,-1.3101138404529604
AKT1,815.31,720.7122165234533,-1.1312559733382406,-0.17769345511843895
AKT1,434.33,576.5061200351809,1.327345843103587,0.40772679101701975
ALDOA,1256.62,1511.915195634913,1.203160219982901,0.2666350553992964
ALDOA,2835.12,2258.047173936016,-1.2555627857225342,-0.32820417847914707
ALDOA,1176.93,1759.869034677142,1.4953047629656326,0.5800338044377237
ALDOA,795.05,2123.6905728357992,2.6711409003657622,1.4163217965305968
ALDOA,1534.07,1916.229290991006,1.249114636875114,0.32071844165433466
ALDOA,845.24,2064.3660046443583,2.4423430086654183,1.2872586794765517
ALDOA,1605.87,2536.824330059008,1.5797196099678106,0.6593389923756395
ALDOA,1604.54,2069.1489233756847,1.2895589535790224,0.3666759483172348
ALDOA,3137.07,1644.4708156172212,-1.907647110674056,-0.9313770956607895
ALDOA,1950.01,1638.2920593763442,-1.1902700674398183,-0.2511482619557226
ALDOC,101.28,77.88992737491739,-1.3002965006308997,-0.37461105113826243
ALDOC,82.61,65.92692330298854,-1.2530540765619984,-0.32108880945649687
ALDOC,47.57,74.535913718132,1.5668680621848223,0.6370972537569023
ALDOC,73.15,73.19442175586751,1.0006072693898496,0.0008640304509551215
ALDOC,72.6,68.20086444895014,-1.0645026362436023,-0.08891570633323746
ALDOC,126.26,67.75795668514687,-1.863397395330212,-0.8881804494322741
ALDOC,98.46,69.92244282105027,-1.408131581615144,-0.4878742025024863
