True_Counts,Residuals
4013.65,-0.6078295057640474
1579.47,-0.09355312395447123
4074.77,-0.6416193969919454
2604.61,-0.45126117814677547
1078.28,0.4041688478783995
2507.66,-0.3624205397348812
780.0,0.3685224680054536
1711.5,-0.3798830893919152
660.38,1.1636046389784018
936.34,-0.0037709944418463153
55.57,-0.17229685277225018
64.43,-0.15015144396672517
35.16,0.2192413356436195
30.8,0.44011861762175813
21.51,1.0952174862167035
49.1,0.11521511722943643
16.25,1.705682080132003
11.62,2.4540666314131765
16.48,1.4643639800664279
26.85,0.8595629132640685
268.0,-0.1338272917288282
155.3,0.5368281362045157
354.73,-0.33975517982486086
256.03,-0.08196924072632011
150.58,0.5696149905488104
70.14,2.3499600828170704
122.35,0.9370449351569609
526.11,-0.5547678644833531
114.28,1.0301255091024606
37.95,5.157014225511027
20.62,-0.49032291399649086
29.74,-0.40813011155832424
17.58,0.18941045204799584
13.38,0.5724710893179279
22.86,-0.03897322199473221
10.88,-0.035940611844922594
20.07,-0.9378054783666836
11.62,0.512991878932161
12.12,0.9208579026351963
10.25,0.3884883737409336
55.57,1.5024435751967655
122.26,0.13741852996633605
82.74,0.6806960294136363
252.18,-0.4485653522337844
47.06,1.9549679021182373
220.95,-0.37062326556377345
78.38,0.7741871583782121
183.38,-0.24167962987411792
151.63,-0.08289395585514571
27.21,4.110650109286448
34.96,-0.016060800094668086
34.7,0.009852290496771445
38.27,-0.09391902915548268
51.98,-0.32745701298475954
25.55,0.3786063905173389
63.13,-0.45409142289349025
28.68,0.2444578211256716
28.38,0.2296925162369704
27.47,0.2646558808968744
12.17,1.7079247025398507
538.68,0.2987967770289032
624.52,0.03766347362520181
477.8,0.2894978271199324
683.4,0.007725784565334255
446.37,0.7534026363604116
389.3,1.1708480856949113
791.47,0.05810263208405479
2047.69,-0.6098395986683152
815.31,-0.1556423764224876
434.33,0.3846415994861774
1256.62,0.5054989572095631
2835.12,-0.3149044306480834
1176.93,0.6153203834432206
795.05,1.4572815663187992
1534.07,0.27297897931020965
845.24,1.3403361864681689
1605.87,0.28292971511771575
1604.54,0.24741783556652874
3137.07,-0.3910623785577419
1950.01,-0.026012179098286455
101.28,-0.3197752972478591
82.61,-0.16604336164221242
47.57,0.44824801124105174
73.15,-0.058193330215491106
72.6,-0.051058431201971954
126.26,-0.45435484005435745
98.46,-0.3002929322086448
117.88,-0.4155653385244585
172.51,-0.6006425256811962
81.64,-0.15613476366074436
148.79,-0.6315223504692237
44.61,0.2290022298516972
69.29,-0.20874888910832434
73.15,-0.25050185271791925
59.16,-0.07326251734813703
66.64,-0.1772840715233462
20.07,1.7317284241995121
32.75,0.674069907593411
45.05,0.21699865646357855
26.14,1.0973905690009262
78.87,-0.4368208292353816
41.3,0.03495546181818716
40.33,0.08574042605193906
36.58,0.20924505343536162
20.17,1.1419479225402807
49.1,0.01677410839250977
36.32,0.1935672079153063
65.49,-0.3497827599736322
40.66,0.07732525243241031
16.83,1.614836621861464
75.29,0.15647566252595205
123.91,-0.2973040704416194
53.78,0.6190229198880427
13.38,5.507552513570922
53.78,0.6190229198880427
45.59,0.909871740109211
36.32,1.3973307442615346
179.01,-0.5135967117391267
113.18,-0.23068516847871592
85.94,0.013160956848719327
25.99,3.795346388286993
87.56,0.4233788560025004
20.68,5.026646645627608
34.65,2.596855775803144
43.02,1.8970491081259628
38.58,2.230457559138905
113.75,0.09565760555234232
360.2,-0.6539948566585815
180.2,-0.3083737367836906
22.56,4.524426091825307
258.14,-0.2131819534891307
166.87,0.2171703153731395
162.37,0.25090355685358
246.41,-0.17572659175229985
151.93,0.3368604655190929
256.03,-0.20669761150523058
153.9,0.3197479566362299
183.38,0.10758648994609989
198.88,0.02126513740102472
141.79,0.4324649871381325
48.4,-0.42655502392344496
29.74,-0.06675397302941276
61.02,-0.5451534440821818
13.38,1.0743450554637715
