Geneid,True_Counts,Predict_Counts,Fold_Change,Log2_Fold_Change
A2M,4013.65,1574.0351041901313,-2.5499113643117215,-1.349890234478473
A2M,1579.47,1431.7056473076314,-1.1032086120287674,-0.14161141569657854
A2M,4074.77,1460.318529719131,-2.790329587055036,-1.479801958299032
A2M,2604.61,1429.2506227871272,-1.8223605842625763,-0.8653531891593991
A2M,1078.28,1514.0871852903206,1.4041688478783996,0.4893316206371927
A2M,2507.66,1598.8325093284277,-1.5684319560485516,-0.6489960813020246
A2M,780.0,1067.4475250442538,1.3685224680054535,0.45212160078131847
A2M,1711.5,1061.3300925057372,-1.6125991452473099,-0.6888718708706159
A2M,660.38,1428.801231488557,2.163604638978402,1.1122632754670743
A2M,936.34,932.8090670643217,-1.003785268668958,-0.005444852654664988
ACVR1C,55.57,45.99546389144606,-1.2081626164517183,-0.26751565966241414
ACVR1C,64.43,54.7557424652239,-1.1766802366148237,-0.230831870160939
ACVR1C,35.16,42.86852536122966,1.2192413356436196,0.2787915332815488
ACVR1C,30.8,44.35565342275015,1.4401186176217582,0.5122556233175062
ACVR1C,21.51,45.068128128521295,2.0952174862167037,1.0332029217759755
ACVR1C,49.1,54.75706225596533,1.1152151172294364,0.1543439466595644
ACVR1C,16.25,43.96733380214505,2.705682080132003,1.3822809845476423
ACVR1C,11.62,40.13625425702111,3.4540666314131765,1.7046985220730857
ACVR1C,16.48,40.61271839149473,2.4643639800664277,1.251319352086045
ACVR1C,26.85,49.929264221140244,1.8595629132640685,0.8708175470983756
ADAM12,268.0,232.13428581667404,-1.1545041657984576,-0.20644498324301228
ADAM12,155.3,238.66940955256132,1.5368281362045157,0.6167280025595285
ADAM12,354.73,234.20864506072712,-1.5145896937665275,-0.5968415600287855
ADAM12,256.03,235.04341529684024,-1.0892881201400832,-0.12288451971001765
ADAM12,150.58,236.3526252768399,1.5696149905488104,0.6469525952237073
ADAM12,70.14,234.9662002087893,3.3499600828170704,1.7298473432807056
ADAM12,122.35,236.99744781645416,1.937044935156961,0.9481883871292703
ADAM12,526.11,234.2410788166631,-2.246019368839136,-1.1639640503979538
ADAM12,114.28,232.0027431802292,2.0301255091024606,1.0152046994440267
ADAM12,37.95,233.65868985814348,6.157014225511027,2.5908686537005194
ADGRE1,20.62,10.509541513392358,-1.962026599706927,-0.9095361587188104
ADGRE1,29.74,17.602210482255437,-1.6895605259339737,-0.7246430994854607
ADGRE1,17.58,20.909835747003765,1.1894104520479958,0.23782816709541257
ADGRE1,13.38,21.039663175073876,1.572471089317928,0.6160385000663541
ADGRE1,22.86,21.96907214520042,-1.040553731578246,-0.05490146400797974
ADGRE1,10.88,10.488966143127243,-1.037280495669154,-0.04828585602156903
ADGRE1,20.07,1.248244049180659,-16.078586565803253,-3.228319758967642
ADGRE1,11.62,17.58096563319171,1.512991878932161,0.5581135686884265
ADGRE1,12.12,23.280797779938577,1.9208579026351962,0.8880481042015526
ADGRE1,10.25,14.23200583084457,1.3884883737409335,0.43718093458304985
ADM,55.57,139.06078947368425,2.5024435751967653,1.3079440484863085
ADM,122.26,139.06078947368425,1.137418529966336,0.18434842836147336
ADM,82.74,139.06078947368425,1.6806960294136362,0.7420643013897811
ADM,252.18,139.06078947368425,-1.8134515196875274,-0.8541103187304574
ADM,47.06,139.06078947368425,2.9549679021182373,1.5431445710002165
ADM,220.95,139.06078947368425,-1.5888734763857528,-0.6641815840823725
ADM,78.38,139.06078947368425,1.774187158378212,0.8192056571302501
ADM,183.38,139.06078947368425,-1.3187038610528143,-0.3966290481840354
ADM,151.63,139.06078947368425,-1.0903864459125219,-0.12398543259469967
ADM,27.21,139.06078947368425,5.110650109286448,2.311774553544512
ADORA2A,34.96,34.398514428690405,-1.0163229598904215,-0.022704204932027083
ADORA2A,34.7,35.04187448023797,1.0098522904967715,0.013749971109593216
ADORA2A,38.27,34.67571875421968,-1.1036541238339272,-0.13848510221489854
ADORA2A,51.98,34.9587844650522,-1.4868938035292294,-0.5591035902600866
ADORA2A,25.55,35.22339327771801,1.378606390517339,0.44820983809228415
ADORA2A,63.13,34.46320847273396,-1.8318085517181655,-0.8546763396841054
ADORA2A,28.68,35.69105030988426,1.2444578211256716,0.3059371114877347
ADORA2A,28.38,34.89867361080522,1.2296925162369703,0.2890961442414685
ADORA2A,27.47,34.74009704823714,1.2646558808968744,0.32810105878160767
ADORA2A,12.17,32.955443629909986,2.707924702539851,1.3663875357479771
AKT1,538.68,699.6358478499295,1.2987967770289033,0.3765605816742116
AKT1,624.52,648.041592548411,1.0376634736252017,0.053254920457330795
AKT1,477.8,616.1220617979037,1.2894978271199324,0.3661327188339391
AKT1,683.4,688.6798011719494,1.0077257845653342,0.011086954991415564
AKT1,446.37,782.666334792197,1.7534026363604116,0.8087710076410775
AKT1,389.3,845.111159761029,2.170848085694911,1.116263750333207
AKT1,791.47,837.4564902155669,1.0581026320840548,0.08137959921131631
AKT1,2047.69,798.9275522028777,-2.563048419539316,-1.3567604486231128
AKT1,815.31,688.4132140789816,-1.1843322924746467,-0.24374817948239458
AKT1,434.33,601.3913859048314,1.3846415994861774,0.46859169552298013
ALDOA,1256.62,1891.840099608681,1.505498957209563,0.5898564762992158
ALDOA,2835.12,1942.3281505810057,-1.4596503681172177,-0.5453890410909522
ALDOA,1176.93,1901.1190188858297,1.6153203834432206,0.6913537132397881
ALDOA,795.05,1953.6617093017612,2.457281566318799,1.295987989244242
ALDOA,1534.07,1952.8388627904133,1.2729789793102098,0.34800704536252797
